#SMILES,glaxo_unsuitable_leads,glaxo_unsuitable_natprod,glaxo_reactive,ursu_reactive,alarmnmr,lint_blake-v2,oprea_filters,MLSMR_excluded,MLSMR_allowed,toxic,pains,passes,fails,passrate,failrate
CCCCCCCC(O)(P(O)(O)=O)P(O)(O)=O,1,1,1,0,1,0,0,0,1,1,0,6,5,54.55,45.45
CCCCCCCc1ccc(NC(P(O)(O)=O)P(O)(O)=O)cc1,1,1,1,0,0,0,0,0,1,0,0,4,7,36.36,63.64
CCCCCCNC(P(O)(O)=O)P(O)(O)=O,1,1,1,0,1,0,0,0,1,1,0,6,5,54.55,45.45
OP(O)(=O)C(NC1CCC1)P(O)(O)=O,1,1,1,0,1,0,0,0,1,1,0,6,5,54.55,45.45
CC(C)CCNC(P(O)(O)=O)P(O)(O)=O,1,1,1,0,1,0,0,0,1,1,0,6,5,54.55,45.45
OP(O)(=O)CC(c1ccncc1)P(O)(O)=O,1,1,1,0,1,0,0,0,1,1,0,6,5,54.55,45.45
NC(=O)N1CCC(CC(=O)N2CCC(CC2)[C@H]2c3ncc(Br)cc3CCc3cc(Cl)cc(Br)c23)CC1,1,1,1,1,0,0,1,1,1,1,0,8,3,72.73,27.27
OP(O)(=O)C(Nc1cc(Br)cc(Br)n1)P(O)(O)=O,1,1,1,0,0,0,0,0,1,0,0,4,7,36.36,63.64
CCCC(O)(P(O)(O)=O)P(O)(O)=O,1,1,1,0,1,0,0,0,1,1,0,6,5,54.55,45.45
C[C@@H](CO)[C@@H]1CC[C@@H](C)[C@@H]2CC[C@@]3(C)OO[C@@]12C=C3,1,1,0,0,1,0,0,0,1,1,0,5,6,45.45,54.55
Oc1c(oc2ccccc2c1=O)-c1ccccc1,1,1,1,1,1,1,1,1,1,1,1,11,0,100,0
O=C1Nc2ccccc2C1=C(C#N)C#N,1,1,1,1,0,0,0,0,1,0,1,6,5,54.55,45.45
CC1(CI)CCOOC2(C3CCC(C3)C2OO1)c1ccccc1,1,1,0,0,0,0,0,0,0,1,0,3,8,27.27,72.73
CC1(CI)CCOC2(C3CCC(C3)C2OO1)c1ccccc1,1,1,0,0,0,0,0,0,0,1,0,3,8,27.27,72.73
CCN(CC)CCCC(C)Nc1ccnc2c(NC(=O)CCCCCCCCC(=O)Nc3cccc4c(NC(C)CCCN(CC)CC)ccnc34)cccc12,0,1,1,1,0,0,0,0,1,1,1,6,5,54.55,45.45
CCN(CC)CCCC(C)Nc1cc(CCCCCCCCCCc2cc(NC(C)CCCN(CC)CC)c3ccccc3n2)nc2ccccc12,0,1,1,1,1,0,0,0,1,1,1,7,4,63.64,36.36
COc1ccc(CCc2cc(O)cc(OC)c2C(=O)N2CCCCC2)cc1,1,1,1,1,0,1,1,1,1,1,1,10,1,90.91,9.09
